fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1381155,2026-05-10_ajax_utrecht,Eredivisie,88,2025,2026-05-10,194,207,Ajax,Utrecht,2026-05-10T15:45:00+01:00,FT,1117,Johan Cruijff Arena,"Jeroen Manschot, Netherlands"
1381156,2026-05-10_excelsior_fc_volendam,Eredivisie,88,2025,2026-05-10,196,416,Excelsior,FC Volendam,2026-05-10T15:45:00+01:00,FT,0,Stadion Woudestein,"Danny Makkelie, Netherlands"
1381157,2026-05-10_feyenoord_az_alkmaar,Eredivisie,88,2025,2026-05-10,209,201,Feyenoord,AZ Alkmaar,2026-05-10T15:45:00+01:00,FT,1128,De Kuip,"Marc Nagtegaal, Netherlands"
1381158,2026-05-10_go_ahead_eagles_psv_eindhoven,Eredivisie,88,2025,2026-05-10,410,197,GO Ahead Eagles,PSV Eindhoven,2026-05-10T15:45:00+01:00,FT,1130,De Adelaarshorst,"Martin Van den Kerkhof, Netherlands"
1381159,2026-05-10_groningen_nec_nijmegen,Eredivisie,88,2025,2026-05-10,202,413,Groningen,NEC Nijmegen,2026-05-10T15:45:00+01:00,FT,12276,Euroborg,"Alex Bos, Netherlands"
1381160,2026-05-10_nac_breda_heerenveen,Eredivisie,88,2025,2026-05-10,203,210,NAC Breda,Heerenveen,2026-05-10T15:45:00+01:00,ABD,1139,Rat Verlegh Stadion,"Sander van der Eijk, Netherlands"
1381161,2026-05-10_fortuna_sittard_pec_zwolle,Eredivisie,88,2025,2026-05-10,205,193,Fortuna Sittard,PEC Zwolle,2026-05-10T15:45:00+01:00,FT,1129,Fortuna Sittard Stadion,"Richard Martens, Netherlands"
1381162,2026-05-10_telstar_heracles,Eredivisie,88,2025,2026-05-10,427,206,Telstar,Heracles,2026-05-10T15:45:00+01:00,FT,0,BUKO Stadion,"Serdar Gozubuyuk, Netherlands"
1381163,2026-05-10_twente_sparta_rotterdam,Eredivisie,88,2025,2026-05-10,415,426,Twente,Sparta Rotterdam,2026-05-10T15:45:00+01:00,FT,1153,De Grolsch Veste,"Jannick van der Laan, Netherlands"
1381138,2026-04-25_feyenoord_groningen,Eredivisie,88,2025,2026-04-25,209,202,Feyenoord,Groningen,2026-04-25T15:30:00+01:00,FT,0,De Kuip,"Danny Makkelie, Netherlands"
1381140,2026-04-25_heerenveen_fortuna_sittard,Eredivisie,88,2025,2026-04-25,210,205,Heerenveen,Fortuna Sittard,2026-04-25T17:45:00+01:00,FT,1132,Abe Lenstra Stadion,"Edwin Van de Graaf, Netherlands"
1381142,2026-04-25_nac_breda_ajax,Eredivisie,88,2025,2026-04-25,203,194,NAC Breda,Ajax,2026-04-25T19:00:00+01:00,FT,1139,Rat Verlegh Stadion,"Serdar Gozubuyuk, Netherlands"
1381145,2026-04-25_twente_nec_nijmegen,Eredivisie,88,2025,2026-04-25,415,413,Twente,NEC Nijmegen,2026-04-25T20:00:00+01:00,FT,1153,De Grolsch Veste,"Joey Kooij, Netherlands"
1381137,2026-04-26_excelsior_utrecht,Eredivisie,88,2025,2026-04-26,196,207,Excelsior,Utrecht,2026-04-26T11:15:00+01:00,FT,0,Stadion Woudestein,"Sander van der Eijk, Netherlands"
1381141,2026-04-26_heracles_fc_volendam,Eredivisie,88,2025,2026-04-26,206,416,Heracles,FC Volendam,2026-04-26T13:30:00+01:00,FT,0,Asito Stadium,"Jannick van der Laan, Netherlands"
1542765,2026-04-28_roda_waalwijk,Eredivisie,88,2025,2026-04-28,414,417,Roda,Waalwijk,2026-04-28T17:45:00+01:00,FT,1146,Parkstad Limburg Stadion,"Ingmar Oostrom, Netherlands"
1542766,2026-04-29_den_bosch_almere_city_fc,Eredivisie,88,2025,2026-04-29,421,419,Den Bosch,Almere City FC,2026-04-29T17:45:00+01:00,FT,0,Stadion de Vliert,"Marc Nagtegaal, Netherlands"
1542767,2026-05-01_waalwijk_roda,Eredivisie,88,2025,2026-05-01,417,414,Waalwijk,Roda,2026-05-01T19:00:00+01:00,PEN,1144,Mandemakers Stadion,"Erwin Blank, Netherlands"
1381146,2026-05-02_ajax_psv_eindhoven,Eredivisie,88,2025,2026-05-02,194,197,Ajax,PSV Eindhoven,2026-05-02T19:00:00+01:00,FT,1117,Johan Cruijff Arena,"Allard Lindhout, Netherlands"
1381149,2026-05-02_groningen_excelsior,Eredivisie,88,2025,2026-05-02,202,196,Groningen,Excelsior,2026-05-02T17:45:00+01:00,FT,12276,Euroborg,"Ingmar Oostrom, Netherlands"
1381150,2026-05-02_nec_nijmegen_telstar,Eredivisie,88,2025,2026-05-02,413,427,NEC Nijmegen,Telstar,2026-05-02T20:00:00+01:00,FT,1140,Goffertstadion,"Jeroen Manschot, Netherlands"
1381153,2026-05-02_utrecht_nac_breda,Eredivisie,88,2025,2026-05-02,207,203,Utrecht,NAC Breda,2026-05-02T15:30:00+01:00,FT,1154,Stadion Galgenwaard,"Alex Bos, Netherlands"
1542768,2026-05-02_almere_city_fc_den_bosch,Eredivisie,88,2025,2026-05-02,419,421,Almere City FC,Den Bosch,2026-05-02T13:00:00+01:00,FT,1141,Yanmar Stadion,"Marc Nagtegaal, Netherlands"
1381147,2026-05-03_az_alkmaar_twente,Eredivisie,88,2025,2026-05-03,201,415,AZ Alkmaar,Twente,2026-05-03T15:45:00+01:00,FT,1119,AFAS Stadion,"Sander van der Eijk, Netherlands"
1381148,2026-05-03_fc_volendam_heerenveen,Eredivisie,88,2025,2026-05-03,416,210,FC Volendam,Heerenveen,2026-05-03T11:15:00+01:00,FT,1156,Kras Stadion,"Serdar Gozubuyuk, Netherlands"
1381151,2026-05-03_fortuna_sittard_feyenoord,Eredivisie,88,2025,2026-05-03,205,209,Fortuna Sittard,Feyenoord,2026-05-03T13:30:00+01:00,FT,1129,Fortuna Sittard Stadion,"Joey Kooij, Netherlands"
1381152,2026-05-03_sparta_rotterdam_go_ahead_eagles,Eredivisie,88,2025,2026-05-03,426,410,Sparta Rotterdam,GO Ahead Eagles,2026-05-03T15:45:00+01:00,FT,10505,Sparta Stadion Het Kasteel,"Martijn Vos, Netherlands"
1381154,2026-05-03_pec_zwolle_heracles,Eredivisie,88,2025,2026-05-03,193,206,PEC Zwolle,Heracles,2026-05-03T13:30:00+01:00,FT,0,IJsseldelta Stadion,"Rob Dieperink, Netherlands"
